strategy,trade_date,action_type,trigger_type,etf_code,etf_name,price,amount,principal_cap,total_principal_invested_after_trade,notes
monthly_dca,2026-04-01,buy,monthly_first_trading_day_dca,159516,半导体设备材料ETF国泰,0.833,12000.0,400000.0,392000.0,按目标权重买入
monthly_dca,2026-04-01,buy,monthly_first_trading_day_dca,159538,信创ETF富国,1.508,8000.0,400000.0,400000.0,按目标权重买入
one_shot_full,2026-01-05,buy,initial_40pct_build,159530,机器人ETF易方达,1.602,48000.0,400000.0,48000.0,按目标权重买入
one_shot_full,2026-01-05,buy,initial_40pct_build,159994,通信ETF银华,0.955,40000.0,400000.0,88000.0,按目标权重买入
one_shot_full,2026-01-05,buy,initial_40pct_build,515260,电子ETF华宝,0.682,32000.0,400000.0,120000.0,按目标权重买入
one_shot_full,2026-01-05,buy,initial_40pct_build,159516,半导体设备材料ETF国泰,0.818,24000.0,400000.0,144000.0,按目标权重买入
one_shot_full,2026-01-05,buy,initial_40pct_build,159538,信创ETF富国,1.575,16000.0,400000.0,160000.0,按目标权重买入
one_shot_full,2026-01-05,buy,one_shot_remaining_60pct_benchmark,159530,机器人ETF易方达,1.602,72000.0,400000.0,232000.0,按目标权重买入
one_shot_full,2026-01-05,buy,one_shot_remaining_60pct_benchmark,159994,通信ETF银华,0.955,60000.0,400000.0,292000.0,按目标权重买入
one_shot_full,2026-01-05,buy,one_shot_remaining_60pct_benchmark,515260,电子ETF华宝,0.682,48000.0,400000.0,340000.0,按目标权重买入
one_shot_full,2026-01-05,buy,one_shot_remaining_60pct_benchmark,159516,半导体设备材料ETF国泰,0.818,36000.0,400000.0,376000.0,按目标权重买入
one_shot_full,2026-01-05,buy,one_shot_remaining_60pct_benchmark,159538,信创ETF富国,1.575,24000.0,400000.0,400000.0,按目标权重买入
